t_lr,t_bert,t_pol,t_pert,origem,suporte,n_amostras,conf
BAIXA,BAIXA,NEGATIVA,MUITO_BAIXA,dados,5222.7,5204,0.015
BAIXA,BAIXA,NEUTRA,MUITO_BAIXA,dados,26634.6,26444,0.015
BAIXA,BAIXA,POSITIVA,MUITO_BAIXA,dados,9281.4,8940,0.063
BAIXA,MEDIA,NEGATIVA,BAIXA,especialista (célula sem dados),8.0,7,
BAIXA,MEDIA,NEUTRA,ALTA,dados,26.0,20,0.572
BAIXA,MEDIA,POSITIVA,MUITO_ALTA,dados,89.0,59,0.702
BAIXA,ALTA,NEGATIVA,MEDIA,especialista (célula sem dados),11.2,4,
BAIXA,ALTA,NEUTRA,MUITO_ALTA,dados,139.5,58,0.838
BAIXA,ALTA,POSITIVA,MUITO_ALTA,dados,114.3,58,0.785
MEDIA,BAIXA,NEGATIVA,MUITO_BAIXA,especialista (célula sem dados),4.8,3,
MEDIA,BAIXA,NEUTRA,ALTA,dados,54.7,39,0.62
MEDIA,BAIXA,POSITIVA,MEDIA,dados,119.2,110,0.409
MEDIA,MEDIA,NEGATIVA,MEDIA,especialista (célula sem dados),4.9,3,
MEDIA,MEDIA,NEUTRA,MEDIA,especialista (célula sem dados),9.8,7,
MEDIA,MEDIA,POSITIVA,MUITO_ALTA,dados,27.6,25,0.713
MEDIA,ALTA,NEGATIVA,ALTA,especialista (célula sem dados),6.3,3,
MEDIA,ALTA,NEUTRA,MUITO_ALTA,dados,73.5,30,0.932
MEDIA,ALTA,POSITIVA,MUITO_ALTA,dados,178.6,82,0.938
ALTA,BAIXA,NEGATIVA,BAIXA,especialista (célula sem dados),7.7,4,
ALTA,BAIXA,NEUTRA,MUITO_ALTA,dados,75.6,27,0.909
ALTA,BAIXA,POSITIVA,ALTA,dados,46.4,33,0.633
ALTA,MEDIA,NEGATIVA,MEDIA,especialista (célula sem dados),12.5,4,
ALTA,MEDIA,NEUTRA,MUITO_ALTA,dados,26.3,16,0.88
ALTA,MEDIA,POSITIVA,MUITO_ALTA,dados,54.5,26,0.911
ALTA,ALTA,NEGATIVA,MUITO_ALTA,dados,150.4,47,0.982
ALTA,ALTA,NEUTRA,MUITO_ALTA,dados,523.1,164,0.983
ALTA,ALTA,POSITIVA,MUITO_ALTA,dados,7249.1,1986,0.993
