t_lr,t_bert,t_pol,t_pert,origem,suporte,n_amostras,conf
BAIXA,BAIXA,NEGATIVA,MUITO_BAIXA,dados,4860.4,4728,0.071
BAIXA,BAIXA,NEUTRA,MUITO_BAIXA,dados,25047.3,24217,0.071
BAIXA,BAIXA,POSITIVA,MUITO_BAIXA,dados,11031.7,10826,0.044
BAIXA,MEDIA,NEGATIVA,BAIXA,dados,141.1,165,0.203
BAIXA,MEDIA,NEUTRA,BAIXA,dados,758.6,838,0.254
BAIXA,MEDIA,POSITIVA,BAIXA,dados,92.5,96,0.296
BAIXA,ALTA,NEGATIVA,BAIXA,dados,42.8,43,0.316
BAIXA,ALTA,NEUTRA,MEDIA,dados,290.5,216,0.527
BAIXA,ALTA,POSITIVA,MUITO_BAIXA,dados,21.5,25,0.124
MEDIA,BAIXA,NEGATIVA,MUITO_BAIXA,dados,133.6,163,0.178
MEDIA,BAIXA,NEUTRA,BAIXA,dados,704.8,804,0.23
MEDIA,BAIXA,POSITIVA,MUITO_BAIXA,dados,210.6,258,0.154
MEDIA,MEDIA,NEGATIVA,ALTA,dados,19.9,20,0.618
MEDIA,MEDIA,NEUTRA,BAIXA,dados,88.8,118,0.344
MEDIA,MEDIA,POSITIVA,ALTA,dados,10.4,12,0.631
MEDIA,ALTA,NEGATIVA,ALTA,dados,15.4,12,0.636
MEDIA,ALTA,NEUTRA,ALTA,dados,85.6,63,0.671
MEDIA,ALTA,POSITIVA,ALTA,especialista (célula sem dados),7.5,8,
ALTA,BAIXA,NEGATIVA,BAIXA,dados,94.2,93,0.364
ALTA,BAIXA,NEUTRA,MEDIA,dados,394.6,369,0.427
ALTA,BAIXA,POSITIVA,MEDIA,dados,81.9,74,0.407
ALTA,MEDIA,NEGATIVA,MEDIA,dados,23.7,25,0.532
ALTA,MEDIA,NEUTRA,MEDIA,dados,72.1,72,0.533
ALTA,MEDIA,POSITIVA,BAIXA,dados,11.1,12,0.325
ALTA,ALTA,NEGATIVA,MUITO_ALTA,dados,51.9,30,0.793
ALTA,ALTA,NEUTRA,MUITO_ALTA,dados,194.3,108,0.764
ALTA,ALTA,POSITIVA,MUITO_ALTA,especialista (célula sem dados),13.8,8,
